accession,predicted_CT,actual_CT,predicted_CG,actual_CG,predicted_TG,actual_TG,predicted_CA,actual_CA,predicted_TT,actual_TT,predicted_TA,actual_TA,predicted_GG,actual_GG,predicted_AG,actual_AG,predicted_CC,actual_CC,predicted_GT,actual_GT,predicted_GA,actual_GA,predicted_AT,actual_AT,predicted_TC,actual_TC,predicted_AA,actual_AA,predicted_GC,actual_GC,predicted_AC,actual_AC
CP001629,0.061,0.057,0.086,0.094,0.061,0.07,0.061,0.07,0.043,0.044,0.043,0.021,0.086,0.073,0.06,0.057,0.086,0.073,0.061,0.051,0.06,0.07,0.043,0.055,0.061,0.071,0.043,0.044,0.086,0.1,0.061,0.05
CP002455,0.058,0.056,0.032,0.037,0.058,0.065,0.057,0.064,0.103,0.096,0.103,0.084,0.032,0.032,0.057,0.056,0.032,0.033,0.058,0.054,0.057,0.065,0.103,0.105,0.058,0.066,0.102,0.096,0.032,0.039,0.057,0.053
CP000038,0.062,0.055,0.065,0.078,0.062,0.074,0.062,0.074,0.06,0.057,0.06,0.048,0.065,0.053,0.063,0.055,0.065,0.053,0.062,0.059,0.063,0.061,0.06,0.069,0.062,0.061,0.06,0.057,0.065,0.087,0.062,0.059
CP010311,0.062,0.059,0.081,0.09,0.062,0.071,0.06,0.068,0.047,0.048,0.046,0.024,0.082,0.068,0.061,0.058,0.081,0.068,0.062,0.051,0.061,0.072,0.046,0.058,0.062,0.073,0.045,0.046,0.081,0.096,0.06,0.049
CP001280,0.058,0.052,0.099,0.144,0.058,0.053,0.058,0.054,0.034,0.038,0.034,0.017,0.099,0.068,0.058,0.052,0.1,0.068,0.058,0.04,0.058,0.075,0.034,0.053,0.058,0.075,0.034,0.037,0.099,0.134,0.058,0.04
CP011280,0.051,0.063,0.02,0.008,0.051,0.059,0.051,0.058,0.128,0.104,0.128,0.133,0.02,0.023,0.051,0.064,0.02,0.022,0.051,0.051,0.051,0.054,0.128,0.131,0.051,0.053,0.128,0.103,0.02,0.025,0.051,0.05
CP002156,0.059,0.053,0.092,0.113,0.059,0.059,0.06,0.06,0.038,0.039,0.039,0.022,0.092,0.075,0.06,0.054,0.092,0.076,0.059,0.047,0.06,0.078,0.039,0.058,0.059,0.077,0.039,0.04,0.092,0.101,0.06,0.048
CP001146,0.053,0.074,0.028,0.01,0.057,0.055,0.055,0.053,0.106,0.094,0.11,0.104,0.03,0.037,0.058,0.079,0.027,0.035,0.057,0.043,0.058,0.072,0.11,0.108,0.053,0.065,0.113,0.099,0.028,0.03,0.055,0.042
HF563609,0.058,0.063,0.035,0.029,0.058,0.064,0.059,0.065,0.096,0.087,0.098,0.093,0.035,0.039,0.059,0.063,0.035,0.039,0.058,0.047,0.059,0.059,0.098,0.106,0.058,0.058,0.099,0.088,0.035,0.051,0.059,0.048
FP475956,0.058,0.055,0.101,0.119,0.058,0.074,0.057,0.074,0.033,0.033,0.033,0.015,0.102,0.071,0.057,0.054,0.101,0.071,0.058,0.051,0.057,0.06,0.033,0.043,0.058,0.06,0.032,0.033,0.101,0.137,0.057,0.051
FQ859181,0.06,0.052,0.087,0.125,0.063,0.062,0.058,0.059,0.043,0.044,0.042,0.022,0.092,0.063,0.061,0.054,0.083,0.055,0.063,0.052,0.061,0.078,0.042,0.055,0.06,0.075,0.041,0.041,0.087,0.112,0.058,0.049
CP003985,0.062,0.065,0.051,0.04,0.062,0.077,0.062,0.075,0.075,0.069,0.075,0.053,0.052,0.051,0.062,0.065,0.051,0.051,0.062,0.055,0.062,0.071,0.075,0.08,0.062,0.071,0.074,0.069,0.051,0.055,0.062,0.054
AM743169,0.056,0.054,0.11,0.122,0.056,0.074,0.056,0.074,0.028,0.026,0.028,0.014,0.11,0.079,0.056,0.054,0.11,0.079,0.056,0.054,0.056,0.057,0.028,0.037,0.056,0.057,0.028,0.026,0.11,0.139,0.056,0.054
CP002382,0.062,0.039,0.075,0.095,0.062,0.075,0.062,0.076,0.051,0.055,0.051,0.03,0.075,0.067,0.062,0.039,0.075,0.067,0.062,0.054,0.062,0.062,0.051,0.075,0.062,0.063,0.051,0.055,0.075,0.093,0.062,0.054
CP006569,0.061,0.051,0.083,0.107,0.061,0.067,0.061,0.066,0.046,0.046,0.045,0.041,0.082,0.067,0.061,0.049,0.083,0.067,0.061,0.051,0.061,0.057,0.045,0.063,0.061,0.057,0.045,0.046,0.083,0.116,0.061,0.051
CP007051,0.055,0.059,0.026,0.017,0.054,0.069,0.055,0.069,0.116,0.106,0.115,0.104,0.025,0.028,0.054,0.058,0.026,0.028,0.054,0.05,0.054,0.048,0.115,0.113,0.055,0.049,0.115,0.106,0.026,0.046,0.055,0.05
CP001185,0.054,0.06,0.024,0.014,0.054,0.064,0.052,0.062,0.123,0.113,0.12,0.101,0.024,0.029,0.053,0.06,0.023,0.028,0.054,0.048,0.053,0.06,0.12,0.117,0.054,0.061,0.116,0.108,0.024,0.029,0.052,0.046
AP012050,0.056,0.057,0.032,0.032,0.058,0.068,0.057,0.067,0.102,0.091,0.103,0.089,0.033,0.03,0.059,0.059,0.031,0.028,0.058,0.054,0.059,0.066,0.103,0.109,0.056,0.063,0.105,0.092,0.032,0.039,0.057,0.054
CP009761,0.052,0.06,0.02,0.013,0.051,0.058,0.051,0.059,0.13,0.116,0.127,0.111,0.02,0.024,0.05,0.058,0.021,0.025,0.051,0.044,0.05,0.059,0.127,0.127,0.052,0.063,0.125,0.114,0.02,0.026,0.051,0.044
CP006617,0.06,0.071,0.043,0.034,0.063,0.073,0.059,0.069,0.087,0.069,0.085,0.088,0.045,0.038,0.061,0.072,0.042,0.035,0.063,0.061,0.061,0.061,0.085,0.089,0.06,0.059,0.084,0.067,0.043,0.057,0.059,0.057
CP003415,0.062,0.055,0.063,0.076,0.062,0.074,0.063,0.074,0.062,0.057,0.062,0.05,0.063,0.051,0.063,0.055,0.063,0.051,0.062,0.058,0.063,0.062,0.062,0.073,0.062,0.062,0.062,0.057,0.063,0.085,0.063,0.058
CP000393,0.056,0.067,0.029,0.018,0.056,0.061,0.056,0.061,0.108,0.097,0.108,0.104,0.029,0.033,0.056,0.067,0.029,0.032,0.056,0.052,0.056,0.059,0.108,0.105,0.056,0.059,0.108,0.097,0.029,0.036,0.056,0.052
CP003946,0.061,0.063,0.048,0.048,0.061,0.071,0.062,0.073,0.078,0.074,0.079,0.058,0.048,0.043,0.062,0.063,0.049,0.043,0.061,0.052,0.062,0.07,0.079,0.085,0.061,0.071,0.08,0.075,0.048,0.06,0.062,0.053
AP014583,0.055,0.061,0.026,0.02,0.055,0.063,0.054,0.063,0.117,0.102,0.115,0.109,0.026,0.027,0.054,0.061,0.026,0.027,0.055,0.053,0.054,0.056,0.115,0.114,0.055,0.057,0.113,0.099,0.026,0.035,0.054,0.053
FM162591,0.061,0.057,0.044,0.043,0.061,0.074,0.061,0.074,0.084,0.076,0.084,0.073,0.044,0.043,0.061,0.056,0.045,0.043,0.061,0.055,0.061,0.06,0.084,0.096,0.061,0.061,0.083,0.075,0.044,0.058,0.061,0.055
CP000686,0.06,0.051,0.091,0.118,0.06,0.071,0.06,0.071,0.039,0.036,0.039,0.023,0.091,0.062,0.06,0.051,0.091,0.062,0.06,0.056,0.06,0.069,0.039,0.056,0.06,0.069,0.039,0.036,0.091,0.114,0.06,0.056
CP002584,0.061,0.058,0.042,0.048,0.061,0.064,0.06,0.064,0.087,0.082,0.087,0.08,0.042,0.043,0.06,0.057,0.042,0.043,0.061,0.053,0.06,0.061,0.087,0.094,0.061,0.062,0.086,0.081,0.042,0.055,0.06,0.053
AP012338,0.049,0.052,0.134,0.169,0.049,0.046,0.049,0.046,0.018,0.017,0.018,0.007,0.135,0.094,0.049,0.053,0.134,0.094,0.049,0.049,0.049,0.068,0.018,0.02,0.049,0.068,0.018,0.017,0.134,0.15,0.049,0.049
AP012292,0.062,0.06,0.064,0.058,0.063,0.078,0.062,0.076,0.06,0.055,0.061,0.047,0.065,0.062,0.063,0.06,0.063,0.061,0.063,0.048,0.063,0.065,0.061,0.081,0.062,0.064,0.061,0.056,0.064,0.083,0.062,0.047
CP003403,0.062,0.053,0.068,0.082,0.062,0.075,0.063,0.076,0.057,0.054,0.057,0.041,0.068,0.055,0.063,0.053,0.068,0.055,0.062,0.058,0.063,0.063,0.057,0.068,0.062,0.062,0.058,0.055,0.068,0.091,0.063,0.058
CP003546,0.061,0.065,0.047,0.052,0.061,0.067,0.062,0.067,0.08,0.067,0.08,0.081,0.047,0.038,0.061,0.065,0.047,0.038,0.061,0.054,0.061,0.062,0.08,0.091,0.061,0.062,0.081,0.068,0.047,0.068,0.062,0.054
CP007155,0.052,0.052,0.125,0.139,0.052,0.065,0.052,0.065,0.022,0.018,0.022,0.01,0.125,0.091,0.052,0.052,0.125,0.092,0.052,0.062,0.052,0.06,0.022,0.02,0.052,0.06,0.022,0.017,0.125,0.134,0.052,0.062
CP002479,0.059,0.065,0.094,0.098,0.059,0.063,0.06,0.064,0.038,0.037,0.038,0.023,0.093,0.078,0.059,0.064,0.094,0.078,0.059,0.053,0.059,0.072,0.038,0.041,0.059,0.073,0.038,0.037,0.094,0.1,0.06,0.053
FP929062,0.056,0.061,0.054,0.065,0.058,0.067,0.057,0.066,0.061,0.059,0.062,0.048,0.055,0.055,0.059,0.063,0.052,0.052,0.058,0.052,0.059,0.081,0.062,0.08,0.056,0.077,0.063,0.06,0.054,0.062,0.057,0.052
AP012046,0.057,0.059,0.032,0.034,0.058,0.066,0.057,0.065,0.102,0.096,0.102,0.086,0.033,0.032,0.058,0.06,0.032,0.031,0.058,0.053,0.058,0.063,0.102,0.101,0.057,0.061,0.103,0.096,0.032,0.044,0.057,0.053
CP000628,0.06,0.054,0.091,0.119,0.059,0.062,0.061,0.064,0.039,0.038,0.039,0.021,0.089,0.066,0.06,0.054,0.093,0.069,0.059,0.046,0.06,0.075,0.039,0.059,0.06,0.075,0.04,0.039,0.091,0.114,0.061,0.046
CP005996,0.061,0.059,0.044,0.044,0.061,0.073,0.061,0.073,0.085,0.08,0.085,0.076,0.044,0.04,0.061,0.059,0.044,0.04,0.061,0.058,0.061,0.054,0.085,0.087,0.061,0.055,0.084,0.08,0.044,0.063,0.061,0.057
CP005094,0.056,0.057,0.108,0.123,0.057,0.064,0.056,0.064,0.03,0.029,0.029,0.016,0.108,0.082,0.056,0.058,0.107,0.081,0.057,0.05,0.056,0.065,0.029,0.039,0.056,0.066,0.029,0.028,0.108,0.13,0.056,0.048
CP002028,0.062,0.059,0.053,0.048,0.062,0.067,0.062,0.068,0.073,0.074,0.073,0.067,0.052,0.06,0.062,0.059,0.053,0.061,0.062,0.054,0.062,0.057,0.073,0.078,0.062,0.057,0.073,0.074,0.053,0.063,0.062,0.055
AP011112,0.062,0.086,0.048,0.023,0.062,0.067,0.061,0.067,0.079,0.069,0.078,0.073,0.048,0.051,0.061,0.083,0.049,0.051,0.062,0.055,0.061,0.065,0.078,0.067,0.062,0.067,0.077,0.068,0.048,0.054,0.061,0.055
CP001080,0.055,0.069,0.026,0.016,0.054,0.059,0.055,0.06,0.116,0.105,0.116,0.101,0.025,0.028,0.054,0.067,0.026,0.029,0.054,0.047,0.054,0.061,0.116,0.108,0.055,0.063,0.115,0.105,0.026,0.034,0.055,0.047
CP010557,0.061,0.058,0.083,0.102,0.061,0.066,0.061,0.066,0.045,0.044,0.045,0.039,0.082,0.064,0.061,0.058,0.083,0.064,0.061,0.05,0.061,0.061,0.045,0.058,0.061,0.061,0.045,0.044,0.083,0.115,0.061,0.05
HF571988,0.063,0.056,0.056,0.058,0.062,0.077,0.062,0.077,0.07,0.065,0.069,0.06,0.056,0.05,0.062,0.056,0.056,0.05,0.062,0.056,0.062,0.058,0.069,0.082,0.063,0.058,0.069,0.064,0.056,0.077,0.062,0.056
CP001429,0.052,0.061,0.02,0.014,0.049,0.05,0.053,0.055,0.127,0.114,0.129,0.11,0.019,0.027,0.049,0.058,0.021,0.029,0.049,0.035,0.049,0.067,0.129,0.134,0.052,0.07,0.131,0.117,0.02,0.02,0.053,0.039
CP003947,0.057,0.062,0.031,0.025,0.057,0.059,0.057,0.059,0.106,0.1,0.106,0.098,0.03,0.036,0.057,0.062,0.031,0.036,0.057,0.05,0.057,0.061,0.106,0.106,0.057,0.062,0.105,0.099,0.031,0.035,0.057,0.05
CP000238,0.056,0.062,0.028,0.026,0.055,0.06,0.055,0.059,0.112,0.088,0.111,0.129,0.028,0.027,0.055,0.062,0.028,0.027,0.055,0.056,0.055,0.05,0.111,0.12,0.056,0.05,0.111,0.088,0.028,0.041,0.055,0.056
CP007142,0.062,0.056,0.059,0.057,0.063,0.08,0.062,0.08,0.066,0.059,0.066,0.047,0.059,0.054,0.062,0.056,0.059,0.054,0.063,0.058,0.062,0.066,0.066,0.079,0.062,0.066,0.066,0.059,0.059,0.069,0.062,0.058
CP001096,0.057,0.051,0.105,0.143,0.057,0.06,0.057,0.059,0.031,0.03,0.031,0.014,0.106,0.071,0.057,0.051,0.105,0.07,0.057,0.05,0.057,0.073,0.031,0.045,0.057,0.073,0.031,0.03,0.105,0.13,0.057,0.05
CP002593,0.049,0.045,0.134,0.178,0.049,0.048,0.049,0.048,0.018,0.013,0.018,0.008,0.134,0.09,0.049,0.045,0.135,0.09,0.049,0.061,0.049,0.07,0.018,0.02,0.049,0.07,0.018,0.013,0.134,0.139,0.049,0.062
CP003382,0.058,0.058,0.102,0.118,0.058,0.07,0.057,0.069,0.033,0.032,0.032,0.015,0.103,0.073,0.058,0.058,0.102,0.072,0.058,0.06,0.058,0.065,0.032,0.032,0.058,0.064,0.032,0.032,0.102,0.122,0.057,0.059
CP001700,0.053,0.052,0.122,0.15,0.053,0.056,0.053,0.056,0.023,0.019,0.023,0.012,0.122,0.087,0.053,0.052,0.122,0.087,0.053,0.058,0.053,0.068,0.023,0.026,0.053,0.068,0.023,0.019,0.122,0.131,0.053,0.058
CP000812,0.059,0.064,0.037,0.029,0.059,0.073,0.06,0.073,0.093,0.085,0.094,0.066,0.038,0.037,0.06,0.064,0.037,0.036,0.059,0.05,0.06,0.072,0.094,0.096,0.059,0.071,0.095,0.087,0.037,0.044,0.06,0.051
CP002985,0.061,0.056,0.08,0.084,0.061,0.074,0.062,0.075,0.047,0.044,0.047,0.035,0.079,0.068,0.061,0.056,0.081,0.069,0.061,0.052,0.061,0.063,0.047,0.063,0.061,0.063,0.047,0.044,0.08,0.1,0.062,0.053
CP010812,0.063,0.06,0.057,0.063,0.062,0.076,0.063,0.078,0.068,0.065,0.068,0.05,0.056,0.045,0.062,0.059,0.058,0.046,0.062,0.058,0.062,0.062,0.068,0.072,0.063,0.063,0.068,0.065,0.057,0.078,0.063,0.059
CP001184,0.048,0.045,0.017,0.015,0.049,0.065,0.047,0.063,0.14,0.129,0.138,0.119,0.017,0.017,0.048,0.045,0.016,0.016,0.049,0.05,0.048,0.049,0.138,0.138,0.048,0.048,0.136,0.125,0.017,0.026,0.047,0.048
FO117623,0.049,0.05,0.133,0.159,0.05,0.054,0.049,0.053,0.018,0.013,0.018,0.008,0.134,0.097,0.049,0.05,0.132,0.096,0.05,0.059,0.049,0.067,0.018,0.02,0.049,0.067,0.018,0.012,0.133,0.137,0.049,0.058
AP012051,0.058,0.064,0.031,0.023,0.057,0.066,0.057,0.066,0.106,0.102,0.104,0.081,0.031,0.034,0.057,0.063,0.031,0.034,0.057,0.051,0.057,0.064,0.104,0.098,0.058,0.066,0.103,0.1,0.031,0.037,0.057,0.051
CP006704,0.059,0.062,0.096,0.095,0.059,0.081,0.059,0.08,0.036,0.034,0.036,0.018,0.096,0.071,0.059,0.062,0.096,0.071,0.059,0.048,0.059,0.059,0.036,0.047,0.059,0.059,0.036,0.034,0.096,0.13,0.059,0.048
CP003156,0.06,0.065,0.04,0.031,0.061,0.072,0.06,0.071,0.09,0.083,0.089,0.077,0.041,0.043,0.06,0.065,0.04,0.043,0.061,0.055,0.06,0.059,0.089,0.089,0.06,0.06,0.088,0.082,0.04,0.054,0.06,0.053
CP006587,0.059,0.062,0.096,0.1,0.059,0.071,0.059,0.072,0.036,0.038,0.036,0.03,0.096,0.077,0.059,0.062,0.096,0.077,0.059,0.055,0.059,0.051,0.036,0.036,0.059,0.051,0.036,0.038,0.096,0.127,0.059,0.056
CP000453,0.055,0.055,0.114,0.115,0.055,0.067,0.055,0.068,0.026,0.023,0.026,0.016,0.114,0.095,0.055,0.056,0.114,0.094,0.055,0.053,0.055,0.061,0.026,0.036,0.055,0.06,0.027,0.024,0.114,0.125,0.055,0.053
AP012495,0.062,0.059,0.052,0.051,0.062,0.072,0.062,0.072,0.074,0.074,0.074,0.055,0.052,0.053,0.062,0.059,0.052,0.053,0.062,0.051,0.062,0.065,0.074,0.081,0.062,0.065,0.074,0.074,0.052,0.065,0.062,0.051
CP001110,0.062,0.062,0.058,0.057,0.062,0.074,0.063,0.076,0.067,0.065,0.067,0.043,0.057,0.051,0.062,0.063,0.059,0.052,0.062,0.051,0.062,0.072,0.067,0.075,0.062,0.072,0.068,0.066,0.058,0.07,0.063,0.053
CP003984,0.062,0.053,0.072,0.078,0.063,0.079,0.062,0.078,0.054,0.055,0.054,0.032,0.073,0.062,0.062,0.054,0.071,0.061,0.063,0.049,0.062,0.062,0.054,0.072,0.062,0.062,0.053,0.055,0.072,0.1,0.062,0.048
CP001055,0.059,0.056,0.04,0.055,0.06,0.055,0.06,0.055,0.089,0.096,0.09,0.091,0.04,0.045,0.061,0.057,0.039,0.044,0.06,0.051,0.061,0.046,0.09,0.084,0.059,0.045,0.091,0.098,0.04,0.069,0.06,0.051
CP003592,0.062,0.061,0.054,0.05,0.062,0.074,0.062,0.074,0.072,0.067,0.072,0.062,0.053,0.05,0.062,0.061,0.054,0.05,0.062,0.047,0.062,0.061,0.072,0.089,0.062,0.062,0.072,0.067,0.054,0.076,0.062,0.048
CP001686,0.05,0.052,0.128,0.14,0.05,0.062,0.051,0.062,0.02,0.014,0.02,0.008,0.128,0.097,0.051,0.053,0.128,0.098,0.05,0.059,0.051,0.066,0.02,0.022,0.05,0.064,0.02,0.014,0.128,0.129,0.051,0.06
CP002045,0.062,0.054,0.071,0.085,0.061,0.071,0.063,0.074,0.054,0.054,0.055,0.037,0.069,0.055,0.062,0.054,0.072,0.056,0.061,0.059,0.062,0.068,0.055,0.063,0.062,0.068,0.056,0.055,0.071,0.083,0.063,0.062
CP003879,0.057,0.066,0.03,0.023,0.057,0.063,0.056,0.063,0.109,0.099,0.107,0.093,0.029,0.032,0.056,0.064,0.03,0.033,0.057,0.051,0.056,0.062,0.107,0.104,0.057,0.065,0.105,0.097,0.03,0.037,0.056,0.05
CP007139,0.059,0.056,0.092,0.122,0.059,0.051,0.06,0.052,0.038,0.04,0.038,0.025,0.092,0.073,0.06,0.056,0.093,0.073,0.059,0.054,0.06,0.079,0.038,0.045,0.059,0.08,0.039,0.041,0.092,0.096,0.06,0.055
CP001147,0.057,0.071,0.029,0.011,0.056,0.067,0.057,0.068,0.109,0.1,0.108,0.085,0.029,0.032,0.056,0.07,0.029,0.032,0.056,0.044,0.056,0.066,0.108,0.105,0.057,0.067,0.108,0.1,0.029,0.038,0.057,0.044
CP004345,0.062,0.053,0.065,0.075,0.062,0.075,0.063,0.075,0.059,0.054,0.06,0.048,0.065,0.058,0.062,0.053,0.066,0.058,0.062,0.058,0.062,0.063,0.06,0.075,0.062,0.063,0.06,0.054,0.065,0.082,0.063,0.058
CP000613,0.052,0.053,0.124,0.14,0.052,0.059,0.052,0.059,0.022,0.02,0.022,0.01,0.124,0.096,0.052,0.051,0.124,0.096,0.052,0.048,0.052,0.064,0.022,0.033,0.052,0.064,0.022,0.019,0.124,0.138,0.052,0.049
CP001281,0.054,0.055,0.117,0.148,0.054,0.06,0.054,0.06,0.025,0.023,0.025,0.011,0.118,0.077,0.054,0.055,0.116,0.076,0.054,0.05,0.054,0.067,0.025,0.034,0.054,0.067,0.025,0.023,0.117,0.146,0.054,0.049
CP003746,0.061,0.052,0.078,0.084,0.062,0.079,0.062,0.079,0.049,0.049,0.049,0.034,0.078,0.066,0.062,0.053,0.078,0.066,0.062,0.057,0.062,0.056,0.049,0.06,0.061,0.056,0.049,0.049,0.078,0.102,0.062,0.057
CP004083,0.062,0.058,0.058,0.069,0.062,0.073,0.062,0.073,0.067,0.062,0.067,0.057,0.058,0.047,0.063,0.058,0.058,0.047,0.062,0.057,0.063,0.061,0.067,0.077,0.062,0.061,0.067,0.062,0.058,0.082,0.062,0.057
CP002157,0.059,0.057,0.034,0.027,0.057,0.068,0.06,0.072,0.098,0.092,0.099,0.083,0.033,0.039,0.058,0.055,0.036,0.041,0.057,0.051,0.058,0.06,0.099,0.105,0.059,0.062,0.101,0.095,0.034,0.039,0.06,0.054
CP010310,0.058,0.048,0.103,0.144,0.057,0.063,0.057,0.063,0.032,0.032,0.032,0.016,0.103,0.065,0.057,0.048,0.104,0.065,0.057,0.056,0.057,0.069,0.032,0.044,0.058,0.069,0.032,0.031,0.103,0.13,0.057,0.056
CP002287,0.056,0.052,0.109,0.128,0.056,0.069,0.056,0.069,0.029,0.029,0.029,0.016,0.108,0.079,0.056,0.051,0.109,0.079,0.056,0.049,0.056,0.057,0.029,0.041,0.056,0.058,0.029,0.03,0.109,0.142,0.056,0.05
CU207366,0.059,0.064,0.034,0.029,0.058,0.061,0.058,0.062,0.102,0.094,0.1,0.087,0.033,0.038,0.057,0.062,0.034,0.039,0.058,0.047,0.057,0.066,0.1,0.106,0.059,0.068,0.099,0.091,0.034,0.04,0.058,0.046
CP002638,0.052,0.048,0.126,0.149,0.051,0.058,0.052,0.058,0.021,0.017,0.021,0.012,0.125,0.094,0.051,0.047,0.126,0.094,0.051,0.063,0.051,0.064,0.021,0.023,0.052,0.065,0.021,0.017,0.126,0.127,0.052,0.064
CP003183,0.06,0.054,0.087,0.094,0.064,0.079,0.057,0.071,0.044,0.039,0.042,0.024,0.093,0.076,0.061,0.054,0.082,0.068,0.064,0.052,0.061,0.068,0.042,0.065,0.06,0.067,0.04,0.036,0.087,0.106,0.057,0.046
AP012342,0.063,0.063,0.063,0.058,0.062,0.067,0.063,0.068,0.062,0.063,0.062,0.028,0.062,0.064,0.062,0.062,0.063,0.065,0.062,0.047,0.062,0.089,0.062,0.074,0.063,0.089,0.063,0.063,0.063,0.052,0.063,0.049
CP001628,0.049,0.05,0.133,0.157,0.049,0.054,0.049,0.054,0.018,0.013,0.018,0.007,0.133,0.098,0.049,0.049,0.134,0.098,0.049,0.057,0.049,0.067,0.018,0.021,0.049,0.067,0.018,0.013,0.133,0.136,0.049,0.058
CP002395,0.06,0.055,0.088,0.106,0.06,0.066,0.061,0.067,0.041,0.041,0.042,0.028,0.087,0.069,0.061,0.055,0.088,0.069,0.06,0.053,0.061,0.067,0.042,0.053,0.06,0.067,0.042,0.042,0.088,0.108,0.061,0.054
CP001940,0.06,0.056,0.091,0.087,0.06,0.07,0.06,0.071,0.039,0.044,0.039,0.026,0.09,0.088,0.06,0.056,0.091,0.088,0.06,0.05,0.06,0.057,0.039,0.048,0.06,0.058,0.039,0.044,0.091,0.106,0.06,0.05
CP000828,0.062,0.067,0.056,0.045,0.062,0.073,0.063,0.074,0.069,0.065,0.07,0.054,0.055,0.052,0.062,0.067,0.056,0.053,0.062,0.052,0.062,0.068,0.07,0.077,0.062,0.069,0.07,0.065,0.056,0.065,0.063,0.052
CP002116,0.062,0.062,0.06,0.064,0.062,0.063,0.063,0.063,0.065,0.063,0.065,0.049,0.06,0.059,0.063,0.063,0.06,0.059,0.062,0.049,0.063,0.078,0.065,0.077,0.062,0.077,0.066,0.063,0.06,0.063,0.063,0.049
CP002546,0.062,0.057,0.08,0.098,0.061,0.069,0.062,0.07,0.048,0.049,0.047,0.02,0.079,0.059,0.061,0.057,0.08,0.061,0.061,0.057,0.061,0.076,0.047,0.053,0.062,0.077,0.047,0.049,0.08,0.09,0.062,0.057
CP003642,0.061,0.065,0.045,0.038,0.061,0.072,0.061,0.072,0.083,0.079,0.083,0.071,0.045,0.042,0.061,0.066,0.045,0.042,0.061,0.055,0.061,0.061,0.083,0.083,0.061,0.061,0.083,0.079,0.045,0.058,0.061,0.056
CP000449,0.058,0.051,0.098,0.118,0.058,0.066,0.059,0.067,0.035,0.033,0.035,0.016,0.098,0.076,0.059,0.051,0.098,0.076,0.058,0.05,0.059,0.073,0.035,0.053,0.058,0.072,0.035,0.033,0.098,0.114,0.059,0.05
AP013066,0.062,0.058,0.079,0.087,0.061,0.074,0.062,0.074,0.048,0.047,0.048,0.031,0.078,0.064,0.061,0.056,0.08,0.065,0.061,0.052,0.061,0.064,0.048,0.06,0.062,0.065,0.048,0.048,0.079,0.101,0.062,0.053
AP009484,0.057,0.058,0.034,0.036,0.058,0.07,0.058,0.069,0.099,0.082,0.1,0.091,0.035,0.029,0.059,0.059,0.033,0.027,0.058,0.056,0.059,0.067,0.1,0.112,0.057,0.065,0.1,0.083,0.034,0.042,0.058,0.056
CP001034,0.057,0.066,0.033,0.021,0.058,0.064,0.058,0.064,0.101,0.09,0.101,0.093,0.033,0.037,0.058,0.067,0.033,0.037,0.058,0.052,0.058,0.064,0.101,0.103,0.057,0.063,0.102,0.091,0.033,0.036,0.058,0.051
AM999887,0.057,0.069,0.029,0.018,0.056,0.067,0.056,0.067,0.109,0.094,0.108,0.099,0.029,0.027,0.056,0.067,0.03,0.028,0.056,0.051,0.056,0.059,0.108,0.107,0.057,0.061,0.107,0.093,0.029,0.042,0.056,0.051
FP929038,0.051,0.051,0.044,0.041,0.064,0.084,0.054,0.073,0.073,0.067,0.078,0.059,0.055,0.051,0.068,0.069,0.036,0.035,0.064,0.055,0.068,0.083,0.078,0.097,0.051,0.059,0.083,0.072,0.044,0.056,0.054,0.048
CP002835,0.061,0.049,0.048,0.069,0.061,0.067,0.062,0.067,0.077,0.081,0.079,0.056,0.049,0.044,0.062,0.05,0.048,0.043,0.061,0.049,0.062,0.068,0.079,0.091,0.061,0.065,0.08,0.082,0.048,0.07,0.062,0.049
CP000388,0.062,0.06,0.05,0.054,0.062,0.074,0.062,0.074,0.077,0.072,0.077,0.069,0.05,0.041,0.062,0.059,0.05,0.041,0.062,0.06,0.062,0.055,0.077,0.08,0.062,0.056,0.077,0.072,0.05,0.073,0.062,0.06
CP001825,0.062,0.081,0.058,0.039,0.062,0.068,0.063,0.069,0.067,0.05,0.067,0.072,0.057,0.052,0.063,0.082,0.058,0.052,0.062,0.053,0.063,0.069,0.067,0.074,0.062,0.068,0.068,0.051,0.058,0.066,0.063,0.055
AP014648,0.058,0.055,0.099,0.129,0.058,0.058,0.059,0.059,0.034,0.035,0.035,0.018,0.098,0.07,0.058,0.054,0.1,0.071,0.058,0.051,0.058,0.075,0.035,0.045,0.058,0.075,0.035,0.035,0.099,0.116,0.059,0.052
CP002209,0.06,0.059,0.091,0.086,0.06,0.079,0.06,0.078,0.04,0.037,0.04,0.025,0.091,0.077,0.06,0.059,0.09,0.077,0.06,0.059,0.06,0.06,0.04,0.045,0.06,0.06,0.039,0.037,0.091,0.105,0.06,0.058
CP003418,0.056,0.058,0.029,0.025,0.056,0.069,0.056,0.068,0.109,0.104,0.109,0.079,0.029,0.029,0.056,0.058,0.029,0.029,0.056,0.047,0.056,0.068,0.109,0.11,0.056,0.068,0.109,0.104,0.029,0.035,0.056,0.047
CP001560,0.061,0.057,0.08,0.082,0.062,0.074,0.061,0.074,0.047,0.045,0.047,0.043,0.08,0.071,0.061,0.057,0.08,0.071,0.062,0.054,0.061,0.055,0.047,0.061,0.061,0.055,0.047,0.045,0.08,0.103,0.061,0.054
