accession,tot_UTRs,tot_seq,num_of_tag_coding,num_of_tga_coding,num_of_taa_coding,total_number_of_ASC_coding,frequency_tag_coding,frequency_tga_coding,frequency_taa_coding,frequency_ASC_coding,tot_UTRs_non_coding,tot_seq_non_coding,num_of_tag_non_coding,num_of_tga_non_coding,num_of_taa_non_coding,total_number_of_ASC_non_coding,frequency_tag_non_coding,frequency_tga_non_coding,frequency_taa_non_coding,frequency_ASC_non_coding
CP003495,3437,61866,58,183,32,273,0.0028,0.0089,0.0016,0.0132,37,666,3,2,1,6,0.0135,0.009,0.0045,0.027
AP012204,5359,96462,140,399,39,578,0.0044,0.0124,0.0012,0.018,0,0,0,0,0,0,,,,
CP002512,2024,36432,150,209,331,690,0.0124,0.0172,0.0273,0.0568,58,1044,2,4,14,20,0.0057,0.0115,0.0402,0.0575
CP003587,4562,82116,168,333,157,658,0.0061,0.0122,0.0057,0.024,39,702,2,5,3,10,0.0085,0.0214,0.0128,0.0427
AP009389,2920,52560,97,211,339,647,0.0055,0.012,0.0193,0.0369,0,0,0,0,0,0,,,,
HE717023,4121,74178,239,416,608,1263,0.0097,0.0168,0.0246,0.0511,0,0,0,0,0,0,,,,
CP007481,910,16380,85,94,108,287,0.0156,0.0172,0.0198,0.0526,27,486,4,2,1,7,0.0247,0.0123,0.0062,0.0432
CP002683,2291,41238,183,173,336,692,0.0133,0.0126,0.0244,0.0503,45,810,6,3,12,21,0.0222,0.0111,0.0444,0.0778
CP002400,2875,51750,53,185,130,368,0.0031,0.0107,0.0075,0.0213,75,1350,8,11,7,26,0.0178,0.0244,0.0156,0.0578
CP001739,4195,75510,220,389,1004,1613,0.0087,0.0155,0.0399,0.0641,45,810,0,1,8,9,0,0.0037,0.0296,0.0333
AM902716,5035,90630,156,371,121,648,0.0052,0.0123,0.004,0.0214,0,0,0,0,0,0,,,,
CP000083,5054,90972,477,524,1269,2270,0.0157,0.0173,0.0418,0.0749,108,1944,15,5,23,43,0.0231,0.0077,0.0355,0.0664
CP002544,3746,67428,236,382,700,1318,0.0105,0.017,0.0311,0.0586,60,1080,4,4,11,19,0.0111,0.0111,0.0306,0.0528
CP001738,5061,91098,74,206,34,314,0.0024,0.0068,0.0011,0.0103,69,1242,1,3,3,7,0.0024,0.0072,0.0072,0.0169
CP001807,2858,51444,67,201,66,334,0.0039,0.0117,0.0038,0.0195,42,756,1,2,1,4,0.004,0.0079,0.004,0.0159
CP002006,2860,51480,208,288,551,1047,0.0121,0.0168,0.0321,0.061,47,846,1,5,5,11,0.0035,0.0177,0.0177,0.039
CP001016,3740,67320,124,363,150,637,0.0055,0.0162,0.0067,0.0284,68,1224,4,8,4,16,0.0098,0.0196,0.0098,0.0392
CP006696,2728,49104,150,320,196,666,0.0092,0.0196,0.012,0.0407,41,738,4,2,5,11,0.0163,0.0081,0.0203,0.0447
CP000884,6153,110754,116,439,72,627,0.0031,0.0119,0.002,0.017,87,1566,0,11,5,16,0,0.0211,0.0096,0.0307
AM889285,3864,69552,77,286,78,441,0.0033,0.0123,0.0034,0.019,8,144,1,1,0,2,0.0208,0.0208,0,0.0417
CP000492,2799,50382,66,331,305,702,0.0039,0.0197,0.0182,0.0418,51,918,3,4,9,16,0.0098,0.0131,0.0294,0.0523
CP001779,1560,28080,104,139,405,648,0.0111,0.0149,0.0433,0.0692,38,684,2,4,4,10,0.0088,0.0175,0.0175,0.0439
CP002786,4624,83232,196,422,108,726,0.0071,0.0152,0.0039,0.0262,43,774,2,2,2,6,0.0078,0.0078,0.0078,0.0233
CP003178,7444,133992,608,830,1460,2898,0.0136,0.0186,0.0327,0.0649,57,1026,1,4,9,14,0.0029,0.0117,0.0263,0.0409
CP001145,1541,27738,130,133,191,454,0.0141,0.0144,0.0207,0.0491,37,666,5,1,2,8,0.0225,0.0045,0.009,0.036
CP002339,4445,80010,412,424,785,1621,0.0154,0.0159,0.0294,0.0608,67,1206,8,2,6,16,0.0199,0.005,0.0149,0.0398
CP002417,6090,109620,99,462,64,625,0.0027,0.0126,0.0018,0.0171,63,1134,3,3,2,8,0.0079,0.0079,0.0053,0.0212
CP002047,10107,181926,139,659,92,890,0.0023,0.0109,0.0015,0.0147,53,954,2,3,2,7,0.0063,0.0094,0.0063,0.022
CP001684,2854,51372,103,171,101,375,0.006,0.01,0.0059,0.0219,43,774,3,2,3,8,0.0116,0.0078,0.0116,0.031
CP006842,3272,58896,121,271,51,443,0.0062,0.0138,0.0026,0.0226,46,828,2,4,5,11,0.0072,0.0145,0.0181,0.0399
AP014685,10060,181080,265,720,167,1152,0.0044,0.0119,0.0028,0.0191,40,720,2,2,2,6,0.0083,0.0083,0.0083,0.025
CP002102,3393,61074,77,238,49,364,0.0038,0.0117,0.0024,0.0179,40,720,3,2,1,6,0.0125,0.0083,0.0042,0.025
CP003590,4665,83970,451,392,680,1523,0.0161,0.014,0.0243,0.0544,48,864,4,4,6,14,0.0139,0.0139,0.0208,0.0486
CP003969,10503,189054,189,401,74,664,0.003,0.0064,0.0012,0.0105,48,864,2,0,2,4,0.0069,0,0.0069,0.0139
FO818637,4882,87876,287,588,804,1679,0.0098,0.0201,0.0274,0.0573,101,1818,5,7,13,25,0.0083,0.0116,0.0215,0.0413
CP003787,2237,40266,196,212,606,1014,0.0146,0.0158,0.0451,0.0755,39,702,4,1,14,19,0.0171,0.0043,0.0598,0.0812
CP000282,4067,73206,401,255,700,1356,0.0164,0.0104,0.0287,0.0556,43,774,5,2,7,14,0.0194,0.0078,0.0271,0.0543
CP003154,4627,83286,100,423,106,629,0.0036,0.0152,0.0038,0.0227,64,1152,5,4,9,18,0.013,0.0104,0.0234,0.0469
AM942759,3685,66330,291,441,776,1508,0.0132,0.0199,0.0351,0.0682,0,0,0,0,0,0,,,,
CP002084,1774,31932,82,171,175,428,0.0077,0.0161,0.0164,0.0402,43,774,1,6,2,9,0.0039,0.0233,0.0078,0.0349
CP002987,3561,64098,187,393,718,1298,0.0088,0.0184,0.0336,0.0608,61,1098,6,7,22,35,0.0164,0.0191,0.0601,0.0956
HG322949,5573,100314,194,541,359,1094,0.0058,0.0162,0.0107,0.0327,72,1296,4,6,5,15,0.0093,0.0139,0.0116,0.0347
CP000685,5137,92466,421,469,1375,2265,0.0137,0.0152,0.0446,0.0735,71,1278,9,5,10,24,0.0211,0.0117,0.0235,0.0563
CP001997,1972,35496,128,157,205,490,0.0108,0.0133,0.0173,0.0414,42,756,3,6,10,19,0.0119,0.0238,0.0397,0.0754
CP000390,4162,74916,137,343,117,597,0.0055,0.0137,0.0047,0.0239,53,954,2,9,2,13,0.0063,0.0283,0.0063,0.0409
CP002657,4815,86670,130,319,64,513,0.0045,0.011,0.0022,0.0178,69,1242,5,5,1,11,0.0121,0.0121,0.0024,0.0266
CP003945,3920,70560,302,547,587,1436,0.0128,0.0233,0.025,0.0611,45,810,2,4,4,10,0.0074,0.0148,0.0148,0.037
CP003379,4399,79182,183,261,137,581,0.0069,0.0099,0.0052,0.022,42,756,3,2,4,9,0.0119,0.0079,0.0159,0.0357
CP002991,2794,50292,150,210,451,811,0.0089,0.0125,0.0269,0.0484,76,1368,3,8,14,25,0.0066,0.0175,0.0307,0.0548
CP003729,9291,167238,169,511,76,756,0.003,0.0092,0.0014,0.0136,48,864,3,3,2,8,0.0104,0.0104,0.0069,0.0278
CP000555,3870,69660,53,247,35,335,0.0023,0.0106,0.0015,0.0144,37,666,0,3,0,3,0,0.0135,0,0.0135
CP002568,4383,78894,54,192,41,287,0.0021,0.0073,0.0016,0.0109,41,738,0,3,3,6,0,0.0122,0.0122,0.0244
BA000022,3167,57006,229,305,514,1048,0.0121,0.0161,0.027,0.0552,1,18,0,0,0,0,0,0,0,0
CP008889,2321,41778,26,163,8,197,0.0019,0.0117,0.0006,0.0141,56,1008,1,8,1,10,0.003,0.0238,0.003,0.0298
AP012157,3810,68580,249,384,663,1296,0.0109,0.0168,0.029,0.0567,0,0,0,0,0,0,,,,
CP000386,3281,59058,104,94,67,265,0.0053,0.0048,0.0034,0.0135,52,936,3,0,1,4,0.0096,0,0.0032,0.0128
FP929061,2771,49878,208,392,553,1153,0.0125,0.0236,0.0333,0.0693,0,0,0,0,0,0,,,,
AP006840,3337,60066,69,155,27,251,0.0034,0.0077,0.0013,0.0125,0,0,0,0,0,0,,,,
CP007044,4883,87894,225,538,499,1262,0.0077,0.0184,0.017,0.0431,91,1638,4,29,13,46,0.0073,0.0531,0.0238,0.0842
CP000781,4847,87246,83,292,59,434,0.0029,0.01,0.002,0.0149,43,774,2,1,1,4,0.0078,0.0039,0.0039,0.0155
AP009384,4717,84906,75,279,57,411,0.0026,0.0099,0.002,0.0145,0,0,0,0,0,0,,,,
CP006272,8648,155664,198,525,99,822,0.0038,0.0101,0.0019,0.0158,63,1134,4,3,2,9,0.0106,0.0079,0.0053,0.0238
CP008796,1532,27576,118,112,272,502,0.0128,0.0122,0.0296,0.0546,38,684,1,1,8,10,0.0044,0.0044,0.0351,0.0439
CP001108,2388,42984,88,309,191,588,0.0061,0.0216,0.0133,0.041,52,936,5,11,6,22,0.016,0.0353,0.0192,0.0705
CP001221,3469,62442,243,370,645,1258,0.0117,0.0178,0.031,0.0604,26,468,0,0,6,6,0,0,0.0385,0.0385
CP001364,4308,77544,194,457,204,855,0.0075,0.0177,0.0079,0.0331,52,936,5,4,4,13,0.016,0.0128,0.0128,0.0417
CP003359,2629,47322,259,214,677,1150,0.0164,0.0136,0.0429,0.0729,77,1386,7,7,32,46,0.0152,0.0152,0.0693,0.0996
CP001734,2559,46062,74,158,65,297,0.0048,0.0103,0.0042,0.0193,47,846,2,4,1,7,0.0071,0.0142,0.0035,0.0248
CP002548,1157,20826,71,110,339,520,0.0102,0.0158,0.0488,0.0749,33,594,3,2,8,13,0.0152,0.0101,0.0404,0.0657
CP003532,2734,49212,190,320,255,765,0.0116,0.0195,0.0155,0.0466,55,990,4,3,5,12,0.0121,0.0091,0.0152,0.0364
CP000934,3816,68688,188,357,393,938,0.0082,0.0156,0.0172,0.041,41,738,4,7,8,19,0.0163,0.0285,0.0325,0.0772
CP000758,2803,50454,101,257,174,532,0.006,0.0153,0.0103,0.0316,36,648,2,4,2,8,0.0093,0.0185,0.0093,0.037
CP009129,3171,57078,205,284,478,967,0.0108,0.0149,0.0251,0.0508,63,1134,8,2,13,23,0.0212,0.0053,0.0344,0.0608
CP000471,3815,68670,186,313,238,737,0.0081,0.0137,0.0104,0.0322,47,846,3,1,9,13,0.0106,0.0035,0.0319,0.0461
CP000922,2956,53208,136,312,280,728,0.0077,0.0176,0.0158,0.041,69,1242,9,5,12,26,0.0217,0.0121,0.029,0.0628
CP001630,7179,129222,113,333,43,489,0.0026,0.0077,0.001,0.0114,73,1314,2,4,3,9,0.0046,0.0091,0.0068,0.0205
CP002159,3009,54162,171,357,268,796,0.0095,0.0198,0.0148,0.0441,59,1062,4,2,9,15,0.0113,0.0056,0.0254,0.0424
CP001958,3128,56304,80,152,27,259,0.0043,0.0081,0.0014,0.0138,47,846,2,3,4,9,0.0071,0.0106,0.0142,0.0319
FO203355,5260,94680,258,572,576,1406,0.0082,0.0181,0.0183,0.0446,0,0,0,0,0,0,,,,
CP000975,2524,45432,170,239,329,738,0.0112,0.0158,0.0217,0.0487,38,684,3,6,8,17,0.0132,0.0263,0.0351,0.0746
CP009257,4258,76644,359,374,827,1560,0.0141,0.0146,0.0324,0.0611,84,1512,6,10,11,27,0.0119,0.0198,0.0218,0.0536
CP000830,3634,65412,68,210,48,326,0.0031,0.0096,0.0022,0.015,33,594,2,4,2,8,0.0101,0.0202,0.0101,0.0404
CP001722,1883,33894,87,152,225,464,0.0077,0.0135,0.0199,0.0411,43,774,8,0,4,12,0.031,0,0.0155,0.0465
CP000774,3706,66708,82,250,110,442,0.0037,0.0112,0.0049,0.0199,32,576,1,1,0,2,0.0052,0.0052,0,0.0104
CP004388,4227,76086,106,440,237,783,0.0042,0.0173,0.0093,0.0309,59,1062,1,9,6,16,0.0028,0.0254,0.0169,0.0452
CP006566,5125,92250,225,517,472,1214,0.0073,0.0168,0.0153,0.0395,84,1512,7,7,14,28,0.0139,0.0139,0.0278,0.0556
CP002876,3605,64890,230,424,526,1180,0.0106,0.0196,0.0243,0.0546,48,864,6,6,12,24,0.0208,0.0208,0.0417,0.0833
CP002899,1406,25308,94,118,356,568,0.0111,0.014,0.0422,0.0673,48,864,7,6,15,28,0.0243,0.0208,0.0521,0.0972
CP011132,5220,93960,173,608,516,1297,0.0055,0.0194,0.0165,0.0414,97,1746,5,10,14,29,0.0086,0.0172,0.0241,0.0498
CP001098,2436,43848,121,212,534,867,0.0083,0.0145,0.0365,0.0593,59,1062,7,3,18,28,0.0198,0.0085,0.0508,0.0791
CP003949,8052,144936,160,547,70,777,0.0033,0.0113,0.0014,0.0161,52,936,1,2,4,7,0.0032,0.0064,0.0128,0.0224
CP003119,5020,90360,81,353,43,477,0.0027,0.0117,0.0014,0.0158,49,882,1,6,5,12,0.0034,0.0204,0.017,0.0408
CP003549,6911,124398,702,678,1547,2927,0.0169,0.0164,0.0373,0.0706,53,954,4,1,10,15,0.0126,0.0031,0.0314,0.0472
CP001962,2506,45108,140,87,68,295,0.0093,0.0058,0.0045,0.0196,42,756,2,1,1,4,0.0079,0.004,0.004,0.0159
CP000109,2259,40662,126,243,365,734,0.0093,0.0179,0.0269,0.0542,43,774,2,3,7,12,0.0078,0.0116,0.0271,0.0465
AP012337,4119,74142,121,427,158,706,0.0049,0.0173,0.0064,0.0286,0,0,0,0,0,0,,,,
CP009056,2342,42156,168,249,688,1105,0.012,0.0177,0.049,0.0786,56,1008,2,4,12,18,0.006,0.0119,0.0357,0.0536
CP002026,4563,82134,83,296,56,435,0.003,0.0108,0.002,0.0159,38,684,1,4,1,6,0.0044,0.0175,0.0044,0.0263
CP000769,4562,82116,84,191,31,306,0.0031,0.007,0.0011,0.0112,43,774,0,0,1,1,0,0,0.0039,0.0039
CP002304,2464,44352,150,190,641,981,0.0101,0.0129,0.0434,0.0664,61,1098,6,1,23,30,0.0164,0.0027,0.0628,0.082
CP003283,2371,42678,142,209,652,1003,0.01,0.0147,0.0458,0.0705,36,648,1,0,9,10,0.0046,0,0.0417,0.0463
CP000155,6863,123534,323,591,647,1561,0.0078,0.0144,0.0157,0.0379,69,1242,8,5,11,24,0.0193,0.0121,0.0266,0.058
CP003796,1087,19566,93,73,163,329,0.0143,0.0112,0.025,0.0504,32,576,5,2,1,8,0.026,0.0104,0.0052,0.0417
CP002353,3791,68238,58,332,64,454,0.0025,0.0146,0.0028,0.02,46,828,1,6,4,11,0.0036,0.0217,0.0145,0.0399
AM494475,2179,39222,203,269,688,1160,0.0155,0.0206,0.0526,0.0887,329,5922,31,65,150,246,0.0157,0.0329,0.076,0.1246
CP007444,4765,85770,145,342,83,570,0.0051,0.012,0.0029,0.0199,47,846,3,6,3,12,0.0106,0.0213,0.0106,0.0426
CP001713,1146,20628,97,92,168,357,0.0141,0.0134,0.0244,0.0519,30,540,3,2,6,11,0.0167,0.0111,0.0333,0.0611
CP002345,3118,56124,251,348,689,1288,0.0134,0.0186,0.0368,0.0688,43,774,1,2,8,11,0.0039,0.0078,0.031,0.0426
HG934468,3060,55080,294,374,531,1199,0.016,0.0204,0.0289,0.0653,36,648,5,7,3,15,0.0231,0.0324,0.0139,0.0694
CP009159,2341,42138,150,238,471,859,0.0107,0.0169,0.0335,0.0612,73,1314,7,8,15,30,0.016,0.0183,0.0342,0.0685
CP000544,2493,44874,49,131,29,209,0.0033,0.0088,0.0019,0.014,43,774,3,3,3,9,0.0116,0.0116,0.0116,0.0349
CP003153,3538,63684,104,217,89,410,0.0049,0.0102,0.0042,0.0193,51,918,1,5,3,9,0.0033,0.0163,0.0098,0.0294
CP000285,3405,61290,69,284,74,427,0.0034,0.0139,0.0036,0.0209,66,1188,8,2,1,11,0.0202,0.0051,0.0025,0.0278
CP003915,4112,74016,172,454,338,964,0.007,0.0184,0.0137,0.0391,42,756,3,3,4,10,0.0119,0.0119,0.0159,0.0397
CP001928,1977,35586,128,224,291,643,0.0108,0.0189,0.0245,0.0542,26,468,2,0,5,7,0.0128,0,0.0321,0.0449
CP006644,5924,106632,131,350,103,584,0.0037,0.0098,0.0029,0.0164,45,810,5,5,1,11,0.0185,0.0185,0.0037,0.0407
CP000513,1351,24318,44,124,211,379,0.0054,0.0153,0.026,0.0468,41,738,7,4,3,14,0.0285,0.0163,0.0122,0.0569
AM180252,1179,21222,137,89,314,540,0.0194,0.0126,0.0444,0.0763,0,0,0,0,0,0,,,,
AP008971,1631,29358,99,197,378,674,0.0101,0.0201,0.0386,0.0689,0,0,0,0,0,0,,,,
CP003597,5665,101970,578,570,707,1855,0.017,0.0168,0.0208,0.0546,48,864,3,3,5,11,0.0104,0.0104,0.0174,0.0382
CP009460,4274,76932,152,487,362,1001,0.0059,0.019,0.0141,0.039,88,1584,5,13,5,23,0.0095,0.0246,0.0095,0.0436
CP002105,2438,43884,242,210,544,996,0.0165,0.0144,0.0372,0.0681,68,1224,9,4,26,39,0.0221,0.0098,0.0637,0.0956
CP001683,3964,71352,84,251,41,376,0.0035,0.0106,0.0017,0.0158,51,918,2,5,0,7,0.0065,0.0163,0,0.0229
AP010946,2893,52074,44,175,42,261,0.0025,0.0101,0.0024,0.015,0,0,0,0,0,0,,,,
CP009122,4687,84366,129,334,111,574,0.0046,0.0119,0.0039,0.0204,36,648,0,4,4,8,0,0.0185,0.0185,0.037
AE000657,1573,28314,130,108,320,558,0.0138,0.0114,0.0339,0.0591,37,666,1,6,6,13,0.0045,0.027,0.027,0.0586
CP002017,3402,61236,45,246,65,356,0.0022,0.0121,0.0032,0.0174,80,1440,8,5,2,15,0.0167,0.0104,0.0042,0.0312
CP003313,2354,42372,125,251,404,780,0.0089,0.0178,0.0286,0.0552,61,1098,1,4,11,16,0.0027,0.0109,0.0301,0.0437
CP001154,3336,60048,79,266,105,450,0.0039,0.0133,0.0052,0.0225,77,1386,8,9,0,17,0.0173,0.0195,0,0.0368
CP003493,3433,61794,51,255,13,319,0.0025,0.0124,0.0006,0.0155,57,1026,1,4,4,9,0.0029,0.0117,0.0117,0.0263
CP002902,3297,59346,79,235,48,362,0.004,0.0119,0.0024,0.0183,55,990,10,4,1,15,0.0303,0.0121,0.003,0.0455
CP002514,2273,40914,49,195,53,297,0.0036,0.0143,0.0039,0.0218,32,576,1,1,2,4,0.0052,0.0052,0.0104,0.0208
AP011615,6627,119286,653,788,1052,2493,0.0164,0.0198,0.0265,0.0627,2,36,0,0,0,0,0,0,0,0
CP002390,1709,30762,77,123,219,419,0.0075,0.012,0.0214,0.0409,50,900,3,2,12,17,0.01,0.0067,0.04,0.0567
CP002056,2859,51462,243,341,644,1228,0.0142,0.0199,0.0375,0.0716,55,990,9,2,6,17,0.0273,0.0061,0.0182,0.0515
FO203431,5562,100116,68,217,7,292,0.002,0.0065,0.0002,0.0087,57,1026,3,4,4,11,0.0088,0.0117,0.0117,0.0322
CP002955,5150,92700,470,546,1224,2240,0.0152,0.0177,0.0396,0.0725,40,720,4,4,3,11,0.0167,0.0167,0.0125,0.0458
CP002810,3080,55440,30,121,8,159,0.0016,0.0065,0.0004,0.0086,54,972,1,6,5,12,0.0031,0.0185,0.0154,0.037
AM711867,3008,54144,34,125,11,170,0.0019,0.0069,0.0006,0.0094,0,0,0,0,0,0,,,,
CP002543,1594,28692,164,158,274,596,0.0171,0.0165,0.0286,0.0623,41,738,5,4,15,24,0.0203,0.0163,0.061,0.0976
CP000509,4755,85590,79,270,21,370,0.0028,0.0095,0.0007,0.013,52,936,0,3,0,3,0,0.0096,0,0.0096
FO203503,4375,78750,159,516,759,1434,0.0061,0.0197,0.0289,0.0546,0,0,0,0,0,0,,,,
CP003260,2063,37134,120,193,280,593,0.0097,0.0156,0.0226,0.0479,45,810,5,2,2,9,0.0185,0.0074,0.0074,0.0333
CP003630,6391,115038,536,721,818,2075,0.014,0.0188,0.0213,0.0541,63,1134,3,13,10,26,0.0079,0.0344,0.0265,0.0688
CP001820,1923,34614,175,200,348,723,0.0152,0.0173,0.0302,0.0627,49,882,2,5,5,12,0.0068,0.017,0.017,0.0408
AP014821,3733,67194,329,444,1179,1952,0.0147,0.0198,0.0526,0.0872,31,558,3,6,5,14,0.0161,0.0323,0.0269,0.0753
CP001965,3050,54900,108,321,148,577,0.0059,0.0175,0.0081,0.0315,47,846,3,2,4,9,0.0106,0.0071,0.0142,0.0319
CP003364,7566,136188,145,643,192,980,0.0032,0.0142,0.0042,0.0216,113,2034,2,9,4,15,0.0029,0.0133,0.0059,0.0221
CP003558,3762,67716,301,419,430,1150,0.0133,0.0186,0.0191,0.0509,37,666,1,4,9,14,0.0045,0.018,0.0405,0.0631
CP003108,5627,101286,385,484,844,1713,0.0114,0.0143,0.025,0.0507,86,1548,8,9,14,31,0.0155,0.0174,0.0271,0.0601
CP002349,3849,69282,329,453,953,1735,0.0142,0.0196,0.0413,0.0751,39,702,4,4,10,18,0.0171,0.0171,0.0427,0.0769
CP000724,4941,88938,407,546,881,1834,0.0137,0.0184,0.0297,0.0619,120,2160,4,24,27,55,0.0056,0.0333,0.0375,0.0764
HF680312,3732,67176,307,392,557,1256,0.0137,0.0175,0.0249,0.0561,769,13842,61,62,112,235,0.0132,0.0134,0.0243,0.0509
CP009440,2090,37620,241,211,573,1025,0.0192,0.0168,0.0457,0.0817,41,738,3,2,8,13,0.0122,0.0081,0.0325,0.0528
CP001230,2023,36414,132,202,382,716,0.0109,0.0166,0.0315,0.059,21,378,1,2,6,9,0.0079,0.0159,0.0476,0.0714
AP011121,2628,47304,126,177,187,490,0.008,0.0112,0.0119,0.0311,0,0,0,0,0,0,,,,
CP001322,5361,96498,182,467,472,1121,0.0057,0.0145,0.0147,0.0349,49,882,2,3,3,8,0.0068,0.0102,0.0102,0.0272
FP929050,3629,65322,228,504,523,1255,0.0105,0.0231,0.024,0.0576,0,0,0,0,0,0,,,,
CP006664,4224,76032,191,371,326,888,0.0075,0.0146,0.0129,0.035,95,1710,4,10,10,24,0.007,0.0175,0.0175,0.0421
CP003466,4470,80460,136,429,172,737,0.0051,0.016,0.0064,0.0275,42,756,3,2,1,6,0.0119,0.0079,0.004,0.0238
CP003870,3040,54720,130,246,363,739,0.0071,0.0135,0.0199,0.0405,42,756,1,3,7,11,0.004,0.0119,0.0278,0.0437
HG938353,4538,81684,123,393,132,648,0.0045,0.0144,0.0048,0.0238,41,738,0,2,1,3,0,0.0081,0.0041,0.0122
CP003470,3958,71244,62,254,54,370,0.0026,0.0107,0.0023,0.0156,50,900,4,1,2,7,0.0133,0.0033,0.0067,0.0233
CP000749,4598,82764,345,438,765,1548,0.0125,0.0159,0.0277,0.0561,83,1494,19,7,15,41,0.0382,0.0141,0.0301,0.0823
CP000319,4100,73800,110,292,113,515,0.0045,0.0119,0.0046,0.0209,49,882,3,3,2,8,0.0102,0.0102,0.0068,0.0272
CP002959,4185,75330,177,385,282,844,0.007,0.0153,0.0112,0.0336,31,558,3,4,5,12,0.0161,0.0215,0.0269,0.0645
CP000088,3184,57312,77,175,41,293,0.004,0.0092,0.0021,0.0153,54,972,1,7,0,8,0.0031,0.0216,0,0.0247
CP001699,7400,133200,609,785,1453,2847,0.0137,0.0177,0.0327,0.0641,88,1584,15,14,9,38,0.0284,0.0265,0.017,0.072
CP007034,2614,47052,139,233,334,706,0.0089,0.0149,0.0213,0.045,63,1134,1,5,7,13,0.0026,0.0132,0.0185,0.0344
CP002666,3864,69552,33,132,8,173,0.0014,0.0057,0.0003,0.0075,51,918,2,3,2,7,0.0065,0.0098,0.0065,0.0229
AP012035,3449,62082,61,226,45,332,0.0029,0.0109,0.0022,0.016,0,0,0,0,0,0,,,,
CP009495,6791,122238,164,504,78,746,0.004,0.0124,0.0019,0.0183,49,882,2,2,1,5,0.0068,0.0068,0.0034,0.017
CP007035,4184,75312,269,426,829,1524,0.0107,0.017,0.033,0.0607,32,576,1,4,6,11,0.0052,0.0208,0.0312,0.0573
CP002667,2581,46458,153,259,534,946,0.0099,0.0167,0.0345,0.0611,61,1098,1,3,13,17,0.0027,0.0082,0.0355,0.0464
CP003563,6222,111996,175,449,141,765,0.0047,0.012,0.0038,0.0205,41,738,2,3,1,6,0.0081,0.0122,0.0041,0.0244
AM236080,4733,85194,100,425,156,681,0.0035,0.015,0.0055,0.024,1,18,0,0,1,1,0,0,0.1667,0.1667
CP004025,8128,146304,141,425,40,606,0.0029,0.0087,0.0008,0.0124,65,1170,0,10,2,12,0,0.0256,0.0051,0.0308
CP000089,4283,77094,145,418,159,722,0.0056,0.0163,0.0062,0.0281,60,1080,6,5,1,12,0.0167,0.0139,0.0028,0.0333
CP010820,4768,85824,352,443,693,1488,0.0123,0.0155,0.0242,0.052,103,1854,17,6,14,37,0.0275,0.0097,0.0227,0.0599
CP009302,1475,26550,39,86,37,162,0.0044,0.0097,0.0042,0.0183,44,792,1,3,3,7,0.0038,0.0114,0.0114,0.0265
CP000820,7377,132786,126,393,62,581,0.0028,0.0089,0.0014,0.0131,48,864,2,1,2,5,0.0069,0.0035,0.0069,0.0174
CP002630,2310,41580,114,90,60,264,0.0082,0.0065,0.0043,0.019,55,990,5,0,2,7,0.0152,0,0.0061,0.0212
CP007062,2478,44604,179,155,675,1009,0.012,0.0104,0.0454,0.0679,48,864,3,1,8,12,0.0104,0.0035,0.0278,0.0417
CP000031,3923,70614,83,285,68,436,0.0035,0.0121,0.0029,0.0185,34,612,1,6,7,14,0.0049,0.0294,0.0343,0.0686
FP929047,2025,36450,46,85,41,172,0.0038,0.007,0.0034,0.0142,0,0,0,0,0,0,,,,
CP003488,4194,75492,327,521,771,1619,0.013,0.0207,0.0306,0.0643,79,1422,2,8,9,19,0.0042,0.0169,0.019,0.0401
CP004121,5831,104958,435,499,1685,2619,0.0124,0.0143,0.0482,0.0749,86,1548,12,4,49,65,0.0233,0.0078,0.095,0.126
AP009510,761,13698,46,71,162,279,0.0101,0.0155,0.0355,0.0611,0,0,0,0,0,0,,,,
CP002364,3408,61344,72,258,121,451,0.0035,0.0126,0.0059,0.0221,47,846,3,1,6,10,0.0106,0.0035,0.0213,0.0355
FR872582,2380,42840,166,264,359,789,0.0116,0.0185,0.0251,0.0553,0,0,0,0,0,0,,,,
BA000012,6752,121536,189,504,125,818,0.0047,0.0124,0.0031,0.0202,0,0,0,0,0,0,,,,
CP003349,4490,80820,457,509,1224,2190,0.017,0.0189,0.0454,0.0813,50,900,0,3,11,14,0,0.01,0.0367,0.0467
CU207211,3352,60336,154,386,265,805,0.0077,0.0192,0.0132,0.04,43,774,7,9,4,20,0.0271,0.0349,0.0155,0.0775
CP009416,3803,68454,187,446,454,1087,0.0082,0.0195,0.0199,0.0476,78,1404,4,16,13,33,0.0085,0.0342,0.0278,0.0705
CP000267,4304,77472,143,448,188,779,0.0055,0.0173,0.0073,0.0302,49,882,0,4,5,9,0,0.0136,0.017,0.0306
HG315671,3518,63324,342,307,1127,1776,0.0162,0.0145,0.0534,0.0841,0,0,0,0,0,0,,,,
AE016825,4529,81522,147,323,139,609,0.0054,0.0119,0.0051,0.0224,94,1692,3,8,3,14,0.0053,0.0142,0.0053,0.0248
AP014565,4947,89046,229,559,558,1346,0.0077,0.0188,0.0188,0.0453,0,0,0,0,0,0,,,,
CP001071,2240,40320,71,208,155,434,0.0053,0.0155,0.0115,0.0323,45,810,1,3,4,8,0.0037,0.0111,0.0148,0.0296
CP001708,1803,32454,180,188,407,775,0.0166,0.0174,0.0376,0.0716,53,954,10,8,16,34,0.0314,0.0252,0.0503,0.1069
CP001821,3443,61974,46,164,8,218,0.0022,0.0079,0.0004,0.0106,58,1044,0,6,1,7,0,0.0172,0.0029,0.0201
